leg,file,dataset,subset,backend,method,budget,passes,questions_expected,questions_run,rows,complete,accuracy_pct,errors,reasoning,temperature
mvueval_qa_internvl_mvublindshard,legs/mvueval_qa_internvl_mvublindshard.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,blind,no images,4,1824,1824,7296,True,30.48,0,mixed (85% traced),0.7
mvueval_qa_internvl_mvufullclip,legs/mvueval_qa_internvl_mvufullclip.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,clip_select_top1,64 frames total,4,1824,1824,7296,True,43.75,0,mixed (96% traced),0.7
mvueval_qa_internvl_mvufullclip,legs/mvueval_qa_internvl_mvufullclip.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,frame_select,64 frames total,4,1824,1824,7296,True,52.36,0,mixed (96% traced),0.7
mvueval_qa_internvl_mvufullclip,legs/mvueval_qa_internvl_mvufullclip.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,temporal_weighted,64 frames total,4,1824,1824,7296,True,51.84,0,mixed (96% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view1,"8 frames/video, single view",4,545,545,2180,True,42.06,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view10,"8 frames/video, single view",4,12,12,48,True,58.33,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view11,"8 frames/video, single view",4,10,10,40,True,40.0,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view12,"8 frames/video, single view",4,3,3,12,True,33.33,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view13,"8 frames/video, single view",4,2,2,8,True,25.0,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view2,"8 frames/video, single view",4,545,545,2180,True,41.33,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view3,"8 frames/video, single view",4,545,545,2180,True,41.88,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view4,"8 frames/video, single view",4,541,541,2164,True,40.76,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view5,"8 frames/video, single view",4,463,463,1852,True,40.01,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view6,"8 frames/video, single view",4,317,317,1268,True,44.24,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view7,"8 frames/video, single view",4,43,43,172,True,62.21,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view8,"8 frames/video, single view",4,33,33,132,True,52.27,0,mixed (98% traced),0.7
mvueval_noview_subset_internvl_mvusv,legs/mvueval_noview_subset_internvl_mvusv.jsonl.gz,MVU-Eval,mvueval_noview_subset.json,InternVL3-8B,single_view9,"8 frames/video, single view",4,21,21,84,True,61.9,0,mixed (98% traced),0.7
allangles_egohumans_qa_internvl_aabfull,legs/allangles_egohumans_qa_internvl_aabfull.jsonl.gz,All-Angles,allangles_egohumans_qa.json,InternVL3-8B,centralized,"stills, cell_px=448",4,170,170,680,True,39.26,0,off,0.7
allangles_egohumans_qa_internvl_aabfull,legs/allangles_egohumans_qa_internvl_aabfull.jsonl.gz,All-Angles,allangles_egohumans_qa.json,InternVL3-8B,cvbench_native,"stills, cell_px=448",4,170,170,680,True,44.12,0,off,0.7
allangles_egohumans_qa_internvl_aabfull,legs/allangles_egohumans_qa_internvl_aabfull.jsonl.gz,All-Angles,allangles_egohumans_qa.json,InternVL3-8B,per_stream,"stills, cell_px=448",4,170,170,680,True,46.32,0,off,0.7
allangles_egohumans_qa_cvbench_aabfull,legs/allangles_egohumans_qa_cvbench_aabfull.jsonl.gz,All-Angles,allangles_egohumans_qa.json,Qwen3-VL-8B-Thinking,centralized,"stills, cell_px=448",4,170,170,680,True,39.56,0,off,0.7
allangles_egohumans_qa_cvbench_aabfull,legs/allangles_egohumans_qa_cvbench_aabfull.jsonl.gz,All-Angles,allangles_egohumans_qa.json,Qwen3-VL-8B-Thinking,cvbench_native,"stills, cell_px=448",4,170,170,680,True,46.91,0,off,0.7
allangles_egohumans_qa_cvbench_aabfull,legs/allangles_egohumans_qa_cvbench_aabfull.jsonl.gz,All-Angles,allangles_egohumans_qa.json,Qwen3-VL-8B-Thinking,per_stream,"stills, cell_px=448",4,170,77,292,False,50.0,0,off,0.7
allangles_egohumans_qa_internvl_aabblind,legs/allangles_egohumans_qa_internvl_aabblind.jsonl.gz,All-Angles,allangles_egohumans_qa.json,InternVL3-8B,blind,no images,4,170,170,680,True,33.24,0,mixed (67% traced),0.7
mvueval_qa_internvl_t1iv,legs/mvueval_qa_internvl_t1iv.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,centralized,8 frames/video,4,1824,1824,7296,True,52.11,0,off,0.1
mvueval_qa_internvl_t1iv,legs/mvueval_qa_internvl_t1iv.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,cvbench_native,8 frames/video,4,1824,1824,7296,True,53.23,0,off,0.1
mvueval_qa_internvl_t1iv,legs/mvueval_qa_internvl_t1iv.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,per_stream,8 frames/video,4,1824,1824,7296,True,43.91,0,off,0.1
mvueval_qa_cvbench_t1q25,legs/mvueval_qa_cvbench_t1q25.jsonl.gz,MVU-Eval,mvueval_qa.json,Qwen2.5-VL-7B-Instruct,centralized,8 frames/video,4,1824,1824,7296,True,49.49,0,off,0.1
mvueval_qa_cvbench_t1q25,legs/mvueval_qa_cvbench_t1q25.jsonl.gz,MVU-Eval,mvueval_qa.json,Qwen2.5-VL-7B-Instruct,cvbench_native,8 frames/video,4,1824,1824,7296,True,53.63,92,off,0.1
mvueval_qa_cvbench_t1q25,legs/mvueval_qa_cvbench_t1q25.jsonl.gz,MVU-Eval,mvueval_qa.json,Qwen2.5-VL-7B-Instruct,per_stream,8 frames/video,4,1824,1824,7296,True,40.04,92,off,0.1
crossview_egoexo500_internvl_t1iv,legs/crossview_egoexo500_internvl_t1iv.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,centralized,8 frames/video,4,500,500,2000,True,43.5,0,off,0.1
crossview_egoexo500_internvl_t1iv,legs/crossview_egoexo500_internvl_t1iv.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,cvbench_native,8 frames/video,4,500,500,2000,True,43.25,0,off,0.1
crossview_egoexo500_internvl_t1iv,legs/crossview_egoexo500_internvl_t1iv.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,per_stream,8 frames/video,4,500,500,2000,True,29.45,0,off,0.1
crossview_egoexo500_cvbench_t1q25,legs/crossview_egoexo500_cvbench_t1q25.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,Qwen2.5-VL-7B-Instruct,centralized,8 frames/video,4,500,500,2000,True,46.15,0,off,0.1
crossview_egoexo500_cvbench_t1q25,legs/crossview_egoexo500_cvbench_t1q25.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,Qwen2.5-VL-7B-Instruct,cvbench_native,8 frames/video,4,500,500,2000,True,45.1,0,off,0.1
crossview_egoexo500_cvbench_t1q25,legs/crossview_egoexo500_cvbench_t1q25.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,Qwen2.5-VL-7B-Instruct,per_stream,8 frames/video,4,500,500,2000,True,28.0,0,off,0.1
allangles_qa_internvl_t1iv,legs/allangles_qa_internvl_t1iv.jsonl.gz,All-Angles,allangles_qa.json,InternVL3-8B,centralized,"stills, cell_px=448",4,2132,2132,8528,True,49.5,0,off,0.1
allangles_qa_internvl_t1iv,legs/allangles_qa_internvl_t1iv.jsonl.gz,All-Angles,allangles_qa.json,InternVL3-8B,cvbench_native,"stills, cell_px=448",4,2132,2132,8528,True,51.04,0,off,0.1
allangles_qa_internvl_t1iv,legs/allangles_qa_internvl_t1iv.jsonl.gz,All-Angles,allangles_qa.json,InternVL3-8B,per_stream,"stills, cell_px=448",4,2132,2132,8528,True,48.55,0,off,0.1
allangles_qa_cvbench_t1q25,legs/allangles_qa_cvbench_t1q25.jsonl.gz,All-Angles,allangles_qa.json,Qwen2.5-VL-7B-Instruct,centralized,"stills, cell_px=448",4,2132,2132,8528,True,47.14,0,off,0.1
allangles_qa_cvbench_t1q25,legs/allangles_qa_cvbench_t1q25.jsonl.gz,All-Angles,allangles_qa.json,Qwen2.5-VL-7B-Instruct,cvbench_native,"stills, cell_px=448",4,2132,2132,8528,True,49.53,0,off,0.1
allangles_qa_cvbench_t1q25,legs/allangles_qa_cvbench_t1q25.jsonl.gz,All-Angles,allangles_qa.json,Qwen2.5-VL-7B-Instruct,per_stream,"stills, cell_px=448",4,2132,2132,8528,True,39.17,0,off,0.1
allangles_qa_internvl_t1iv_blind,legs/allangles_qa_internvl_t1iv_blind.jsonl.gz,All-Angles,allangles_qa.json,InternVL3-8B,blind,no images,4,2132,2132,8528,True,38.59,0,off,0.1
allangles_qa_cvbench_t1q25_blind,legs/allangles_qa_cvbench_t1q25_blind.jsonl.gz,All-Angles,allangles_qa.json,Qwen2.5-VL-7B-Instruct,blind,no images,4,2132,2132,8528,True,40.57,0,off,0.1
mvueval_qa_internvl_t1iv_blind,legs/mvueval_qa_internvl_t1iv_blind.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,blind,no images,4,1824,1824,7296,True,30.99,0,off,0.1
mvueval_qa_cvbench_t1q25_blind,legs/mvueval_qa_cvbench_t1q25_blind.jsonl.gz,MVU-Eval,mvueval_qa.json,Qwen2.5-VL-7B-Instruct,blind,no images,4,1824,1824,7296,True,33.81,0,off,0.1
mvueval_qa_internvl_fs32,legs/mvueval_qa_internvl_fs32.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,cvbench_native,32 frames total,4,1824,1824,7296,True,52.6,0,off,0.1
mvueval_qa_internvl_fs64,legs/mvueval_qa_internvl_fs64.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,centralized,64 frames total,4,1824,1592,6367,False,49.63,0,off,0.1
mvueval_qa_internvl_fs64,legs/mvueval_qa_internvl_fs64.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,cvbench_native,64 frames total,4,1824,1824,7296,True,52.96,0,off,0.1
mvueval_qa_internvl_fs64,legs/mvueval_qa_internvl_fs64.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,per_stream,64 frames total,4,1824,440,1756,False,37.07,0,off,0.1
mvueval_qa_internvl_fs96,legs/mvueval_qa_internvl_fs96.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,centralized,96 frames total,4,1824,1824,7296,True,51.6,0,off,0.1
mvueval_qa_internvl_fs96,legs/mvueval_qa_internvl_fs96.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,cvbench_native,96 frames total,4,1824,1824,7296,True,51.52,0,off,0.1
mvueval_qa_internvl_fs96,legs/mvueval_qa_internvl_fs96.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,per_stream,96 frames total,4,1824,289,1146,False,34.64,0,off,0.1
crossview_egoexo500_internvl_optu,legs/crossview_egoexo500_internvl_optu.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,clip_select_viclip_optu,"matched, 8xK frames total",4,500,500,2000,True,43.2,0,off,0.1
crossview_egoexo500_internvl_optu,legs/crossview_egoexo500_internvl_optu.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,frame_select_siglip_optu,"matched, 8xK frames total",4,500,500,2000,True,40.75,0,off,0.1
crossview_egoexo500_internvl_optu,legs/crossview_egoexo500_internvl_optu.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,query_search_siglip,"matched, 8xK frames total",4,500,500,2000,True,43.3,0,off,0.1
crossview_egoexo500_cvbench_optu,legs/crossview_egoexo500_cvbench_optu.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,Qwen2.5-VL-7B-Instruct,clip_select_viclip_optu,"matched, 8xK frames total",4,500,500,2000,True,44.5,0,off,0.1
crossview_egoexo500_cvbench_optu,legs/crossview_egoexo500_cvbench_optu.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,Qwen2.5-VL-7B-Instruct,frame_select_siglip_optu,"matched, 8xK frames total",4,500,500,2000,True,45.1,0,off,0.1
crossview_egoexo500_cvbench_optu,legs/crossview_egoexo500_cvbench_optu.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,Qwen2.5-VL-7B-Instruct,query_search_siglip,"matched, 8xK frames total",4,500,500,2000,True,45.85,0,off,0.1
mvueval_qa_internvl_optu,legs/mvueval_qa_internvl_optu.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,clip_select_viclip_optu,"matched, 8xK frames total",4,1824,1824,7296,True,41.05,0,off,0.1
mvueval_qa_internvl_optu,legs/mvueval_qa_internvl_optu.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,frame_select_siglip_optu,"matched, 8xK frames total",4,1824,1824,7296,True,49.48,0,off,0.1
mvueval_qa_internvl_optu,legs/mvueval_qa_internvl_optu.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,query_search_siglip,"matched, 8xK frames total",4,1824,1824,7296,True,52.97,0,off,0.1
mvueval_qa_cvbench_optu,legs/mvueval_qa_cvbench_optu.jsonl.gz,MVU-Eval,mvueval_qa.json,Qwen2.5-VL-7B-Instruct,clip_select_viclip_optu,"matched, 8xK frames total",4,1824,1824,7296,True,39.76,0,off,0.1
mvueval_qa_cvbench_optu,legs/mvueval_qa_cvbench_optu.jsonl.gz,MVU-Eval,mvueval_qa.json,Qwen2.5-VL-7B-Instruct,frame_select_siglip_optu,"matched, 8xK frames total",4,1824,1824,7296,True,47.74,0,off,0.1
mvueval_qa_cvbench_optu,legs/mvueval_qa_cvbench_optu.jsonl.gz,MVU-Eval,mvueval_qa.json,Qwen2.5-VL-7B-Instruct,query_search_siglip,"matched, 8xK frames total",4,1824,1824,7296,True,50.99,0,off,0.1
mvueval_qa_internvl_sg32,legs/mvueval_qa_internvl_sg32.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,segment_select_siglip,32 frames total,4,1824,1824,7296,True,52.85,0,off,0.1
mvueval_qa_internvl_sg64,legs/mvueval_qa_internvl_sg64.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,segment_select_siglip,64 frames total,4,1824,1824,7296,True,53.02,0,off,0.1
mvueval_qa_internvl_sg96,legs/mvueval_qa_internvl_sg96.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,segment_select_siglip,96 frames total,4,1824,1824,7296,True,51.36,0,off,0.1
crossview_egoexo500_internvl_fs32,legs/crossview_egoexo500_internvl_fs32.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,cvbench_native,32 frames total,4,500,500,2000,True,45.45,0,off,0.1
crossview_egoexo500_internvl_fs64,legs/crossview_egoexo500_internvl_fs64.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,cvbench_native,64 frames total,4,500,500,2000,True,43.85,0,off,0.1
crossview_egoexo500_internvl_fs96,legs/crossview_egoexo500_internvl_fs96.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,cvbench_native,96 frames total,4,500,500,2000,True,43.95,0,off,0.1
crossview_egoexo500_internvl_sg32,legs/crossview_egoexo500_internvl_sg32.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,segment_select_siglip,32 frames total,4,500,500,2000,True,38.65,0,off,0.1
crossview_egoexo500_internvl_sg64,legs/crossview_egoexo500_internvl_sg64.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,segment_select_siglip,64 frames total,4,500,500,2000,True,40.65,0,off,0.1
crossview_egoexo500_internvl_sg96,legs/crossview_egoexo500_internvl_sg96.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,segment_select_siglip,96 frames total,4,500,500,2000,True,40.8,0,off,0.1
mvueval_qa_internvl_sgv32,legs/mvueval_qa_internvl_sgv32.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,segment_select_viclip_opt,32 frames total,4,1824,1824,7296,True,52.28,0,off,0.1
mvueval_qa_internvl_sgv64,legs/mvueval_qa_internvl_sgv64.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,segment_select_viclip_opt,64 frames total,4,1824,1824,7296,True,51.22,0,off,0.1
mvueval_qa_internvl_sgv96,legs/mvueval_qa_internvl_sgv96.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,segment_select_viclip_opt,96 frames total,4,1824,1824,7296,True,49.92,0,off,0.1
mvueval_qa_internvl_sgva32,legs/mvueval_qa_internvl_sgva32.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,segment_select_viclip_opt,"32 frames total, auto K",4,1824,1824,7296,True,52.17,0,off,0.1
mvueval_qa_internvl_sgva64,legs/mvueval_qa_internvl_sgva64.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,segment_select_viclip_opt,"64 frames total, auto K",4,1824,1824,7296,True,51.84,0,off,0.1
mvueval_qa_internvl_sgva96,legs/mvueval_qa_internvl_sgva96.jsonl.gz,MVU-Eval,mvueval_qa.json,InternVL3-8B,segment_select_viclip_opt,"96 frames total, auto K",4,1824,1824,7296,True,49.89,0,off,0.1
crossview_egoexo500_internvl_sgva32,legs/crossview_egoexo500_internvl_sgva32.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,segment_select_viclip_opt,"32 frames total, auto K",4,500,500,2000,True,42.4,0,off,0.1
crossview_egoexo500_internvl_sgva64,legs/crossview_egoexo500_internvl_sgva64.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,segment_select_viclip_opt,"64 frames total, auto K",4,500,500,2000,True,42.25,0,off,0.1
crossview_egoexo500_internvl_sgva96,legs/crossview_egoexo500_internvl_sgva96.jsonl.gz,CrossView-EgoExo,crossview_egoexo500.json,InternVL3-8B,segment_select_viclip_opt,"96 frames total, auto K",4,500,500,2000,True,43.3,0,off,0.1
crossview_meva1033_subset_internvl_mp4fs32,legs/crossview_meva1033_subset_internvl_mp4fs32.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,cvbench_native,32 frames total,4,1033,1033,4132,True,42.88,0,off,0.1
crossview_meva1033_subset_internvl_mp4fs64,legs/crossview_meva1033_subset_internvl_mp4fs64.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,cvbench_native,64 frames total,4,1033,1033,4132,True,45.18,0,off,0.1
crossview_meva1033_subset_internvl_mp4fs96,legs/crossview_meva1033_subset_internvl_mp4fs96.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,cvbench_native,96 frames total,4,1033,1033,4132,True,43.85,0,off,0.1
crossview_meva1033_subset_internvl_mp4sg32,legs/crossview_meva1033_subset_internvl_mp4sg32.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,segment_select_siglip,32 frames total,4,1033,1033,4132,True,44.17,0,off,0.1
crossview_meva1033_subset_internvl_mp4sg64,legs/crossview_meva1033_subset_internvl_mp4sg64.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,segment_select_siglip,64 frames total,4,1033,1033,4132,True,47.75,0,off,0.1
crossview_meva1033_subset_internvl_mp4sg96,legs/crossview_meva1033_subset_internvl_mp4sg96.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,segment_select_siglip,96 frames total,4,1033,1033,4132,True,49.1,0,off,0.1
crossview_meva1033_subset_internvl_mp4sgva32,legs/crossview_meva1033_subset_internvl_mp4sgva32.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,segment_select_viclip_opt,"32 frames total, auto K",4,1033,1033,4132,True,43.56,0,off,0.1
crossview_meva1033_subset_internvl_mp4sgva64,legs/crossview_meva1033_subset_internvl_mp4sgva64.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,segment_select_viclip_opt,"64 frames total, auto K",4,1033,1033,4132,True,47.97,0,off,0.1
crossview_meva1033_subset_internvl_mp4sgva96,legs/crossview_meva1033_subset_internvl_mp4sgva96.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,segment_select_viclip_opt,"96 frames total, auto K",4,1033,1033,4132,True,48.31,0,off,0.1
crossview_meva_cap13_internvl_mp4t1iv,legs/crossview_meva_cap13_internvl_mp4t1iv.jsonl.gz,CrossView-MEVA,crossview_meva_cap13.json,InternVL3-8B,centralized,8 frames/video,4,1033,1033,4132,True,47.19,0,off,0.1
crossview_meva_cap13_internvl_mp4t1iv,legs/crossview_meva_cap13_internvl_mp4t1iv.jsonl.gz,CrossView-MEVA,crossview_meva_cap13.json,InternVL3-8B,cvbench_native,8 frames/video,4,1033,1033,4132,True,44.92,0,off,0.1
crossview_meva_cap13_internvl_mp4t1iv,legs/crossview_meva_cap13_internvl_mp4t1iv.jsonl.gz,CrossView-MEVA,crossview_meva_cap13.json,InternVL3-8B,per_stream,8 frames/video,4,1033,1033,4132,True,39.06,0,off,0.1
crossview_meva_cap13_cvbench_mp4t1q25,legs/crossview_meva_cap13_cvbench_mp4t1q25.jsonl.gz,CrossView-MEVA,crossview_meva_cap13.json,Qwen2.5-VL-7B-Instruct,centralized,8 frames/video,4,1033,1033,4132,True,47.99,0,off,0.1
crossview_meva_cap13_cvbench_mp4t1q25,legs/crossview_meva_cap13_cvbench_mp4t1q25.jsonl.gz,CrossView-MEVA,crossview_meva_cap13.json,Qwen2.5-VL-7B-Instruct,cvbench_native,8 frames/video,4,1033,1033,4132,True,41.36,0,off,0.1
crossview_meva_cap13_cvbench_mp4t1q25,legs/crossview_meva_cap13_cvbench_mp4t1q25.jsonl.gz,CrossView-MEVA,crossview_meva_cap13.json,Qwen2.5-VL-7B-Instruct,per_stream,8 frames/video,4,1033,1033,4132,True,24.95,0,off,0.1
crossview_meva1033_subset_internvl_mp4bd,legs/crossview_meva1033_subset_internvl_mp4bd.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,blind,no images,4,1033,1033,4132,True,34.75,0,mixed (87% traced),0.7
crossview_meva1033_subset_internvl_mp4sv8,legs/crossview_meva1033_subset_internvl_mp4sv8.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,single_view1,"8 frames/view, single view",4,1033,1033,4132,True,37.73,0,mixed (97% traced),0.7
crossview_meva1033_subset_internvl_mp4sv8,legs/crossview_meva1033_subset_internvl_mp4sv8.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,single_view2,"8 frames/view, single view",4,1033,1033,4132,True,35.67,0,mixed (97% traced),0.7
crossview_meva1033_subset_internvl_mp4sv8,legs/crossview_meva1033_subset_internvl_mp4sv8.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,single_view3,"8 frames/view, single view",4,958,958,3832,True,31.73,0,mixed (97% traced),0.7
